id;rule_attribute_predicate_id;rule_id;attribute_name;operator;attribute_values
1;drive generate;leverage;microchip Account quantifying;RSS Forward markets;azure
2;Compatible;system open-source Horizontal;Garden transmitting;Guadeloupe Dynamic;Dynamic
3;calculating syndicate Solutions;SDD Prairie Albania;Metal parse PCI;Grocery Account Principe;De-engineered Concrete Borders
4;Legacy Bedfordshire;navigate Account Ergonomic;Representative Program;didactic productivity Track;Producer wireless Salad
5;Azerbaijan;Frozen;bus Ridges IB;cultivate;Engineer XSS
6;Towels Ohio support;seamless Health;Peso;SMTP Way Chair;Exclusive Steel
7;Director Electronics;Wooden Bacon Account;Licensed Dakota;Buckinghamshire parse West;ivory Down-sized reboot
8;River leverage orchid;neural cross-platform matrix;Table;Future orange applications;synthesizing
9;Granite Cotton firewall;Generic bluetooth;quantifying;productize Proactive parsing;Human Iraqi
10;architectures;blue Refined;copy tan Account;real-time calculating Colorado;Music
